==10627== NVPROF is profiling process 10627, command: python -m graphsage.model --prof-backprop
==10627== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10627== Profiling application: python -m graphsage.model --prof-backprop
==10627== Profiling result:
==10627== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: sgemm_32x32x32_TN_vec
         10                      global_load_requests   Total number of global load requests from Multiprocessor        8192        8192        8192
         10                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         10                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         10                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         10                           l2_tex_hit_rate                                          L2 Cache Hit Rate      12.27%      13.22%      12.70%
         10                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)        2808        2996        2900
         10                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)       16384       16384       16384
         10                  shared_load_transactions                                   Shared Load Transactions       65536       65536       65536
         10                 shared_store_transactions                                  Shared Store Transactions       43008       43008       43008
         10                        tex_cache_hit_rate                                     Unified Cache Hit Rate      58.86%      59.25%      59.04%
         10                    tex_cache_transactions                                 Unified Cache Transactions        8192        8192        8192
         10                    dram_read_transactions                            Device Memory Read Transactions         514        3379        1291
         10                   dram_write_transactions                           Device Memory Write Transactions        7002       12593       11037
    Kernel: sgemm_32x32x32_NN
          9                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
          9                             flop_count_sp                Floating Point Operations(Single Precision)   332488704   357654528   346469717
          9                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
          9                                inst_fp_64                                    FP Instructions(Double)           0           0           0
          9                                inst_fp_32                                    FP Instructions(Single)   166748160   179331072   173738666
          9                                inst_fp_16                                      HP Instructions(Half)           0           0           0
          9                              inst_integer                                       Integer Instructions    11354112    12140544    11791018
          9                  gld_requested_throughput                           Requested Global Load Throughput  388.07GB/s  495.29GB/s  427.42GB/s
          9                  gst_requested_throughput                          Requested Global Store Throughput  2.2817GB/s  2.9883GB/s  2.5840GB/s
          9                    shared_load_throughput                              Shared Memory Load Throughput  821.78GB/s  1046.0GB/s  903.19GB/s
          9                   shared_store_throughput                             Shared Memory Store Throughput  416.86GB/s  530.62GB/s  458.21GB/s
          9                            gld_efficiency                              Global Memory Load Efficiency      22.18%      22.19%      22.18%
          9                            gld_throughput                                     Global Load Throughput  1749.6GB/s  2232.6GB/s  1926.7GB/s
          9                            gst_efficiency                             Global Memory Store Efficiency      88.65%      88.65%      88.65%
          9                            gst_throughput                                    Global Store Throughput  2.5738GB/s  3.3708GB/s  2.9148GB/s
          9                         shared_efficiency                                   Shared Memory Efficiency      67.16%      67.19%      67.17%
          9                           global_hit_rate                          Global Hit Rate in unified l1/tex      76.82%      77.34%      77.02%
          9                      global_load_requests   Total number of global load requests from Multiprocessor     1283584     1392128     1340757
          9                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
          9                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
